TIMESTAMP,SAMPLES_ECG1,SAMPLES_SAT,SAMPLES_ABP,RATE_ECG1,RATE_SAT,RATE_ABP
'2015-01-10T17:20:42.096',0.95,1.533,108.824,,,
'2015-01-10T17:20:42.104',0.985,1.529,113.172,,,
'2015-01-10T17:20:42.112',1.021,1.527,117.568,,,
'2015-01-10T17:20:42.120',1.03,1.526,121.817,,,
'2015-01-10T17:20:42.128',1.021,1.526,125.871,,,
'2015-01-10T17:20:42.136',0.996,1.526,129.29,,,
'2015-01-10T17:20:42.144',0.965,1.526,131.879,,,
'2015-01-10T17:20:42.152',0.94,1.528,133.295,,,
'2015-01-10T17:20:42.160',0.915,1.531,133.686,,,
'2015-01-10T17:20:42.168',0.915,1.533,133.1,,,
'2015-01-10T17:20:42.176',0.9,1.534,131.879,,,
'2015-01-10T17:20:42.184',0.87,1.536,130.218,,,
'2015-01-10T17:20:42.192',0.865,1.539,128.362,,,
'2015-01-10T17:20:42.200',0.87,1.539,126.311,,,
'2015-01-10T17:20:42.208',0.87,1.537,123.917,,,
'2015-01-10T17:20:42.216',0.88,1.536,121.28,,,
'2015-01-10T17:20:42.224',0.87,1.535,118.496,,,
'2015-01-10T17:20:42.232',0.885,1.535,115.614,,,
'2015-01-10T17:20:42.240',0.891,1.535,112.634,,,
'2015-01-10T17:20:42.248',0.9,1.535,109.606,,,
'2015-01-10T17:20:42.256',0.885,1.535,106.48,,,
'2015-01-10T17:20:42.264',0.891,1.535,103.256,,,
'2015-01-10T17:20:42.272',0.9,1.535,99.739,,,
'2015-01-10T17:20:42.280',0.895,1.535,95.93,,,
'2015-01-10T17:20:42.288',0.891,1.535,91.973,,,
'2015-01-10T17:20:42.296',0.9,1.535,87.87,,,
'2015-01-10T17:20:42.304',0.905,1.535,83.67,,,
'2015-01-10T17:20:42.312',0.9,1.535,79.616,,,
'2015-01-10T17:20:42.320',0.915,1.535,75.855,,,
'2015-01-10T17:20:42.328',0.96,1.535,72.631,,,
'2015-01-10T17:20:42.336',0.98,1.539,70.189,,,
'2015-01-10T17:20:42.344',1.01,1.546,68.528,,,
'2015-01-10T17:20:42.352',1.041,1.556,67.698,,,
'2015-01-10T17:20:42.360',1.086,1.571,67.307,,,
'2015-01-10T17:20:42.368',1.191,1.59,67.112,,,
'2015-01-10T17:20:42.376',1.441,1.617,66.916,,,
'2015-01-10T17:20:42.384',1.501,1.646,66.623,,,
'2015-01-10T17:20:42.392',1.501,1.677,66.037,,,
'2015-01-10T17:20:42.400',1.501,1.714,65.353,,,
'2015-01-10T17:20:42.408',1.501,1.75,64.572,,,
'2015-01-10T17:20:42.416',1.501,1.786,63.741,,,
'2015-01-10T17:20:42.424',1.501,1.824,62.911,,,
'2015-01-10T17:20:42.432',1.501,1.863,62.178,,,
'2015-01-10T17:20:42.440',1.501,1.905,61.348,,,
'2015-01-10T17:20:42.448',1.501,1.949,60.664,,,
'2015-01-10T17:20:42.456',1.501,1.991,59.98,,,
'2015-01-10T17:20:42.464',1.025,2.03,59.297,,,
'2015-01-10T17:20:42.472',0.595,2.066,58.662,,,
'2015-01-10T17:20:42.480',0.36,2.095,58.027,,,
'2015-01-10T17:20:42.488',0.305,2.121,57.441,,,
'2015-01-10T17:20:42.496',0.285,2.151,56.903,,,
'2015-01-10T17:20:42.504',0.275,2.177,56.415,,,
'2015-01-10T17:20:42.512',0.27,2.202,55.878,,,
'2015-01-10T17:20:42.520',0.295,2.23,55.34,,,
'2015-01-10T17:20:42.528',0.255,2.257,54.803,,,
'2015-01-10T17:20:42.536',0.185,2.282,54.217,,,
'2015-01-10T17:20:42.544',0.145,2.302,53.68,,,
'2015-01-10T17:20:42.552',0.13,2.321,53.093,,,
'2015-01-10T17:20:42.560',0.105,2.333,52.556,,,
'2015-01-10T17:20:42.568',0.1,2.34,51.97,,,
'2015-01-10T17:20:42.576',0.085,2.341,51.482,,,
'2015-01-10T17:20:42.584',0.055,2.338,50.993,,,
'2015-01-10T17:20:42.592',0.035,2.33,50.407,,,
'2015-01-10T17:20:42.600',-0.01,2.321,49.87,,,
'2015-01-10T17:20:42.608',-0.061,2.311,49.284,,,
'2015-01-10T17:20:42.616',-0.09,2.302,48.746,,,
'2015-01-10T17:20:42.624',-0.146,2.291,48.16,,,
'2015-01-10T17:20:42.632',-0.211,2.281,47.623,,,
'2015-01-10T17:20:42.640',-0.261,2.271,47.037,,,
'2015-01-10T17:20:42.648',-0.296,2.262,46.548,,,
'2015-01-10T17:20:42.656',-0.341,2.253,46.255,,,
'2015-01-10T17:20:42.664',-0.37,2.245,46.353,,,
'2015-01-10T17:20:42.672',-0.376,2.237,47.379,,,
'2015-01-10T17:20:42.680',-0.316,2.229,49.87,,,
'2015-01-10T17:20:42.688',-0.236,2.221,54.363,,,
'2015-01-10T17:20:42.696',-0.1,2.21,60.86,,,
'2015-01-10T17:20:42.704',0.065,2.196,68.821,,,
'2015-01-10T17:20:42.712',0.25,2.18,77.125,,,
'2015-01-10T17:20:42.720',0.44,2.163,84.598,,,
'2015-01-10T17:20:42.728',0.625,2.152,90.508,,,
'2015-01-10T17:20:42.736',0.81,2.142,94.66,,,
'2015-01-10T17:20:42.744',0.935,2.128,97.346,,,
'2015-01-10T17:20:42.752',1.01,2.111,99.056,,,
'2015-01-10T17:20:42.760',1.061,2.093,100.326,,,
'2015-01-10T17:20:42.768',1.075,2.073,101.303,,,
'2015-01-10T17:20:42.776',1.081,2.058,102.279,,,
'2015-01-10T17:20:42.784',1.09,2.043,103.012,,,
'2015-01-10T17:20:42.792',1.05,2.028,103.354,,,
'2015-01-10T17:20:42.800',1.041,2.017,103.305,,,
'2015-01-10T17:20:42.808',1.05,2.011,102.719,,,
'2015-01-10T17:20:42.816',1.045,2.008,101.742,,,
'2015-01-10T17:20:42.824',1.045,2.002,100.423,,,
'2015-01-10T17:20:42.832',1.055,1.993,98.763,,,
'2015-01-10T17:20:42.840',1.041,1.982,96.809,,,
'2015-01-10T17:20:42.848',1.035,1.969,94.513,,,
'2015-01-10T17:20:42.856',1.045,1.954,91.876,,,
'2015-01-10T17:20:42.864',1.03,1.938,88.798,,,
'2015-01-10T17:20:42.872',1.035,1.923,85.233,,,
'2015-01-10T17:20:42.880',1.041,1.909,81.179,,,
'2015-01-10T17:20:42.888',1.025,1.895,76.734,,,
'2015-01-10T17:20:42.896',1.021,1.881,72.094,,,
'2015-01-10T17:20:42.904',1.025,1.865,67.6,,,
'2015-01-10T17:20:42.912',1.025,1.849,63.741,,,
'2015-01-10T17:20:42.920',1.025,1.834,60.713,,,
'2015-01-10T17:20:42.928',1.015,1.82,58.662,,,
'2015-01-10T17:20:42.936',1.021,1.811,57.538,,,
'2015-01-10T17:20:42.944',1.025,1.804,57.196,,,
'2015-01-10T17:20:42.952',1.041,1.802,57.196,,,
'2015-01-10T17:20:42.960',1.021,1.802,57.441,,,
'2015-01-10T17:20:42.968',1,1.8,57.587,,,
'2015-01-10T17:20:42.976',1.005,1.799,57.734,,,
'2015-01-10T17:20:42.984',1.01,1.801,57.685,,,
'2015-01-10T17:20:42.992',1.005,1.802,57.489,,,
'2015-01-10T17:20:43.000',1,1.802,57.245,,,
'2015-01-10T17:20:43.008',1.005,1.802,56.854,,,
'2015-01-10T17:20:43.016',1.01,1.805,56.415,,,
'2015-01-10T17:20:43.024',1.005,1.815,55.975,,,
'2015-01-10T17:20:43.032',1,1.829,55.536,,,
'2015-01-10T17:20:43.040',0.996,1.844,55.096,,,
'2015-01-10T17:20:43.048',1.01,1.859,54.608,,,
'2015-01-10T17:20:43.056',0.985,1.877,54.119,,,
'2015-01-10T17:20:43.064',1,1.9,53.631,,,
'2015-01-10T17:20:43.072',1,1.924,53.045,,,
'2015-01-10T17:20:43.080',1.005,1.944,52.507,,,
'2015-01-10T17:20:43.088',1,1.964,51.97,,,
'2015-01-10T17:20:43.096',0.996,1.984,51.482,,,
'2015-01-10T17:20:43.104',0.996,2.003,50.944,,,
'2015-01-10T17:20:43.112',0.99,2.021,50.358,,,
'2015-01-10T17:20:43.120',0.98,2.035,49.87,,,
'2015-01-10T17:20:43.128',0.98,2.047,49.284,,,
'2015-01-10T17:20:43.136',1,2.057,48.795,,,
'2015-01-10T17:20:43.144',0.996,2.064,48.307,,,
'2015-01-10T17:20:43.152',0.98,2.065,47.818,,,
'2015-01-10T17:20:43.160',0.976,2.062,47.281,,,
'2015-01-10T17:20:43.168',0.965,2.058,46.841,,,
'2015-01-10T17:20:43.176',0.965,2.056,46.402,,,
'2015-01-10T17:20:43.184',0.97,2.055,46.06,,,
'2015-01-10T17:20:43.192',0.965,2.055,45.669,,,
'2015-01-10T17:20:43.200',0.96,2.055,45.278,,,
'2015-01-10T17:20:43.208',0.976,2.055,44.985,,,
'2015-01-10T17:20:43.216',0.97,2.055,44.595,,,
'2015-01-10T17:20:43.224',0.96,2.055,44.302,,,
'2015-01-10T17:20:43.232',0.956,2.05,44.008,,,
'2015-01-10T17:20:43.240',0.96,2.039,43.618,,,
'2015-01-10T17:20:43.248',0.97,2.028,43.276,,,
'2015-01-10T17:20:43.256',0.98,2.017,42.983,,,
'2015-01-10T17:20:43.264',1.005,2.007,42.69,,,
'2015-01-10T17:20:43.272',1.021,2.002,42.348,,,
'2015-01-10T17:20:43.280',1.035,1.997,42.104,,,
'2015-01-10T17:20:43.288',1.041,1.991,41.81,,,
'2015-01-10T17:20:43.296',1.05,1.981,41.566,,,
'2015-01-10T17:20:43.304',1.055,1.971,41.224,,,
'2015-01-10T17:20:43.312',1.03,1.961,40.98,,,
'2015-01-10T17:20:43.320',1.075,1.95,40.687,,,
'2015-01-10T17:20:43.328',1.065,1.936,40.443,,,
'2015-01-10T17:20:43.336',1.005,1.924,40.15,,,
'2015-01-10T17:20:43.344',0.956,1.913,39.906,,,
'2015-01-10T17:20:43.352',0.915,1.902,39.661,,,
'2015-01-10T17:20:43.360',0.891,1.889,39.466,,,
'2015-01-10T17:20:43.368',0.885,1.876,39.222,,,
'2015-01-10T17:20:43.376',0.885,1.865,38.978,,,
'2015-01-10T17:20:43.384',0.885,1.855,38.782,,,
'2015-01-10T17:20:43.392',0.891,1.845,38.538,,,
'2015-01-10T17:20:43.400',0.885,1.831,38.294,,,
'2015-01-10T17:20:43.408',0.895,1.818,38.049,,,
'2015-01-10T17:20:43.416',0.891,1.808,37.805,,,
'2015-01-10T17:20:43.424',0.885,1.802,37.561,,,
'2015-01-10T17:20:43.432',0.895,1.796,37.317,,,
'2015-01-10T17:20:43.440',0.855,1.791,37.024,,,
'2015-01-10T17:20:43.448',0.815,1.787,36.877,,,
'2015-01-10T17:20:43.456',1.456,1.78,36.682,,,
'2015-01-10T17:20:43.464',1.501,1.773,36.486,,,
'2015-01-10T17:20:43.472',1.501,1.765,36.291,,,
'2015-01-10T17:20:43.480',1.501,1.76,36.047,,,
'2015-01-10T17:20:43.488',1.225,1.755,35.852,,,
'2015-01-10T17:20:43.496',0.81,1.748,35.754,,,
'2015-01-10T17:20:43.504',0.655,1.741,35.558,,,
'2015-01-10T17:20:43.512',0.64,1.735,35.363,,,
'2015-01-10T17:20:43.520',0.665,1.73,35.217,,,
'2015-01-10T17:20:43.528',0.65,1.723,35.07,,,
'2015-01-10T17:20:43.536',0.645,1.717,34.923,,,
'2015-01-10T17:20:43.544',0.64,1.709,34.777,,,
'2015-01-10T17:20:43.552',0.655,1.701,34.679,,,
'2015-01-10T17:20:43.560',0.65,1.693,34.533,,,
'2015-01-10T17:20:43.568',0.655,1.684,34.337,,,
'2015-01-10T17:20:43.576',0.645,1.678,34.24,,,
'2015-01-10T17:20:43.584',0.655,1.674,34.044,,,
'2015-01-10T17:20:43.592',0.65,1.667,33.849,,,
'2015-01-10T17:20:43.600',0.655,1.662,33.605,,,
'2015-01-10T17:20:43.608',0.65,1.657,33.409,,,
'2015-01-10T17:20:43.616',0.655,1.65,33.214,,,
'2015-01-10T17:20:43.624',0.665,1.643,33.116,,,
'2015-01-10T17:20:43.632',0.66,1.635,32.97,,,
'2015-01-10T17:20:43.640',0.655,1.628,32.872,,,
'2015-01-10T17:20:43.648',0.66,1.62,32.725,,,
'2015-01-10T17:20:43.656',0.665,1.611,32.628,,,
'2015-01-10T17:20:43.664',0.65,1.603,32.432,,,
'2015-01-10T17:20:43.672',0.65,1.595,32.237,,,
'2015-01-10T17:20:43.680',0.67,1.589,32.091,,,
'2015-01-10T17:20:43.688',0.675,1.584,32.188,,,
'2015-01-10T17:20:43.696',0.67,1.577,32.677,,,
'2015-01-10T17:20:43.704',0.69,1.567,34.289,,,
'2015-01-10T17:20:43.712',0.71,1.558,37.805,,,
'2015-01-10T17:20:43.720',0.73,1.554,43.813,,,
'2015-01-10T17:20:43.728',0.77,1.552,51.97,,,
'2015-01-10T17:20:43.736',0.825,1.551,61.153,,,
'2015-01-10T17:20:43.744',0.86,1.55,70.189,,,
'2015-01-10T17:20:43.752',0.91,1.55,77.906,,,
'2015-01-10T17:20:43.760',0.96,1.548,84.109,,,
'2015-01-10T17:20:43.768',1.01,1.545,89.092,,,
'2015-01-10T17:20:43.776',1.041,1.545,93.292,,,
'2015-01-10T17:20:43.784',1.061,1.547,97.102,,,
'2015-01-10T17:20:43.792',1.065,1.548,100.912,,,
'2015-01-10T17:20:43.800',1.041,1.549,104.673,,,
'2015-01-10T17:20:43.808',0.98,1.549,108.238,,,
'2015-01-10T17:20:43.816',0.94,1.549,111.511,,,
'2015-01-10T17:20:43.824',0.9,1.549,114.051,,,
'2015-01-10T17:20:43.832',0.88,1.549,115.663,,,
'2015-01-10T17:20:43.840',0.86,1.549,116.346,,,
'2015-01-10T17:20:43.848',0.85,1.549,116.102,,,
'2015-01-10T17:20:43.856',0.84,1.549,115.125,,,
'2015-01-10T17:20:43.864',0.83,1.549,113.416,,,
'2015-01-10T17:20:43.872',0.825,1.549,111.218,,,
'2015-01-10T17:20:43.880',0.835,1.549,108.531,,,
'2015-01-10T17:20:43.888',0.85,1.549,105.552,,,
'2015-01-10T17:20:43.896',0.835,1.544,102.279,,,
'2015-01-10T17:20:43.904',0.85,1.538,98.909,,,
'2015-01-10T17:20:43.912',0.86,1.532,95.49,,,
'2015-01-10T17:20:43.920',0.875,1.524,91.973,,,
'2015-01-10T17:20:43.928',0.865,1.515,88.554,,,
'2015-01-10T17:20:43.936',0.9,1.505,85.184,,,
'2015-01-10T17:20:43.944',0.935,1.499,81.911,,,
'2015-01-10T17:20:43.952',0.985,1.495,78.737,,,
'2015-01-10T17:20:43.960',1.041,1.493,75.659,,,
'2015-01-10T17:20:43.968',1.065,1.492,72.729,,,
'2015-01-10T17:20:43.976',1.12,1.494,69.945,,,
'2015-01-10T17:20:43.984',1.251,1.498,67.405,,,
'2015-01-10T17:20:43.992',1.456,1.5,65.353,,,
'2015-01-10T17:20:44.000',1.501,1.5,63.937,,,
'2015-01-10T17:20:44.008',1.501,1.5,63.058,,,
'2015-01-10T17:20:44.016',1.501,1.503,62.667,,,
'2015-01-10T17:20:44.024',1.501,1.512,62.618,,,
'2015-01-10T17:20:44.032',1.501,1.524,62.569,,,
'2015-01-10T17:20:44.040',1.501,1.535,62.423,,,
'2015-01-10T17:20:44.048',1.501,1.547,62.032,,,
'2015-01-10T17:20:44.056',1.501,1.564,61.348,,,
'2015-01-10T17:20:44.064',1.501,1.585,60.567,,,
'2015-01-10T17:20:44.072',1.501,1.609,59.687,,,
'2015-01-10T17:20:44.080',0.835,1.634,58.808,,,
'2015-01-10T17:20:44.088',0.445,1.659,58.124,,,
'2015-01-10T17:20:44.096',0.295,1.691,57.489,,,
'2015-01-10T17:20:44.104',0.245,1.732,57.001,,,
'2015-01-10T17:20:44.112',0.215,1.775,56.61,,,
'2015-01-10T17:20:44.120',0.225,1.816,56.317,,,
'2015-01-10T17:20:44.128',0.19,1.856,55.926,,,
'2015-01-10T17:20:44.136',0.195,1.893,55.487,,,
'2015-01-10T17:20:44.144',0.205,1.927,55.096,,,
'2015-01-10T17:20:44.152',0.195,1.956,54.754,,,
'2015-01-10T17:20:44.160',0.16,1.985,54.363,,,
'2015-01-10T17:20:44.168',0.105,2.018,54.07,,,
'2015-01-10T17:20:44.176',0.06,2.044,53.728,,,
'2015-01-10T17:20:44.184',0.035,2.069,53.435,,,
'2015-01-10T17:20:44.192',-0.005,2.097,53.045,,,
'2015-01-10T17:20:44.200',-0.03,2.118,52.654,,,
'2015-01-10T17:20:44.208',-0.065,2.134,52.312,,,
'2015-01-10T17:20:44.216',-0.1,2.147,51.872,,,
'2015-01-10T17:20:44.224',-0.146,2.157,51.433,,,
'2015-01-10T17:20:44.232',-0.196,2.168,50.944,,,
'2015-01-10T17:20:44.240',-0.256,2.178,50.407,,,
'2015-01-10T17:20:44.248',-0.316,2.188,49.87,,,
'2015-01-10T17:20:44.256',-0.37,2.198,49.284,,,
'2015-01-10T17:20:44.264',-0.421,2.203,48.795,,,
'2015-01-10T17:20:44.272',-0.446,2.2,48.551,,,
'2015-01-10T17:20:44.280',-0.461,2.195,48.844,,,
'2015-01-10T17:20:44.288',-0.466,2.187,50.358,,,
'2015-01-10T17:20:44.296',-0.376,2.178,53.631,,,
'2015-01-10T17:20:44.304',-0.256,2.168,59.052,,,
'2015-01-10T17:20:44.312',-0.11,2.158,66.477,,,
'2015-01-10T17:20:44.320',0.055,2.152,74.976,,,
'2015-01-10T17:20:44.328',0.255,2.148,83.377,,,
'2015-01-10T17:20:44.336',0.445,2.146,90.606,,,
'2015-01-10T17:20:44.344',0.625,2.14,96.125,,,
'2015-01-10T17:20:44.352',0.795,2.132,99.788,,,
'2015-01-10T17:20:44.360',0.91,2.128,102.035,,,
'2015-01-10T17:20:44.368',0.985,2.121,103.452,,,
'2015-01-10T17:20:44.376',1.025,2.11,104.38,,,
'2015-01-10T17:20:44.384',1.041,2.1,105.063,,,
'2015-01-10T17:20:44.392',1.045,2.087,105.698,,,
'2015-01-10T17:20:44.400',1.05,2.073,106.236,,,
'2015-01-10T17:20:44.408',1.015,2.062,106.627,,,
'2015-01-10T17:20:44.416',1.01,2.051,106.724,,,
'2015-01-10T17:20:44.424',1,2.04,106.48,,,
'2015-01-10T17:20:44.432',1,2.03,105.747,,,
'2015-01-10T17:20:44.440',1,2.021,104.624,,,
'2015-01-10T17:20:44.448',1,2.008,102.914,,,
'2015-01-10T17:20:44.456',0.99,1.997,100.912,,,
'2015-01-10T17:20:44.464',1,1.986,98.47,,,
'2015-01-10T17:20:44.472',0.996,1.976,95.881,,,
'2015-01-10T17:20:44.480',1,1.966,92.999,,,
'2015-01-10T17:20:44.488',0.996,1.953,89.971,,,
'2015-01-10T17:20:44.496',1,1.942,86.698,,,
'2015-01-10T17:20:44.504',1.005,1.929,83.133,,,
'2015-01-10T17:20:44.512',0.99,1.912,79.225,,,
'2015-01-10T17:20:44.520',0.985,1.896,75.122,,,
'2015-01-10T17:20:44.528',0.98,1.884,70.922,,,
'2015-01-10T17:20:44.536',0.985,1.873,67.112,,,
'2015-01-10T17:20:44.544',0.98,1.862,63.986,,,
'2015-01-10T17:20:44.552',0.976,1.852,61.788,,,
'2015-01-10T17:20:44.560',0.976,1.843,60.567,,,
